SIZES,CITY,jong,totwage
2,11,8,16206
2,11,16,19900
3,11,20,23145
4,11,42,105949
1,11,14,23061
2,11,31,49234
2,11,18,29701
3,11,57,101471
4,11,180,405899
4,11,211,724330
5,11,243,918091
1,11,3,9815
2,11,10,28711
3,11,18,40387
1,11,4,10303
1,11,4,26104
2,11,18,30126
2,11,10,52222
2,11,19,62418
4,11,1,2500
4,11,213,1129293
4,11,172,536342
1,11,5,13705
1,11,5,19440
2,11,7,45474
2,11,9,48276
2,11,7,20512
4,11,129,507648
1,11,6,134514
2,11,9,40436
3,11,37,182084
1,11,6,7253
1,11,8,13312
2,11,15,23968
2,11,5,6897
2,11,12,14218
2,11,13,23363
3,11,55,59326
3,11,31,35454
4,11,136,266070
4,11,109,469089
4,11,93,114250
1,11,9,29209
4,11,122,295471
1,11,8,25500
1,11,4,8440
2,11,10,32457
2,11,8,26063
3,11,34,72530
3,11,38,78319
3,11,38,83181
3,11,26,55016
4,11,123,373067
4,11,214,472586
2,11,7,22691
2,11,25,92697
3,11,76,283412
1,11,2,4600
1,11,5,18373
3,11,19,64269
5,11,294,1039599
5,11,352,1657404
1,11,40,32911
1,11,6,12300
2,11,15,21567
3,11,22,32132
2,11,3,2100
4,11,163,246144
4,11,107,192004
6,11,681,1034437
6,11,338,336640
1,11,0,0
1,11,1,1836
1,11,0,0
2,11,0,0
2,11,12,24113
2,11,0,0
3,11,75,357364
4,11,119,421664
6,11,1132,5705884
1,11,0,0
3,11,22,102193
1,11,0,0
2,11,7,19586
2,11,9,18444
2,11,17,47734
3,11,33,80277
1,11,5,7672
1,11,5,9815
2,11,14,25330
2,11,15,27529
3,11,17,32723
2,11,10,16670
1,11,8,11734
1,11,3,4450
1,11,6,16835
2,11,12,37222
3,11,36,189137
1,11,5,11850
2,11,15,22500
4,11,128,351541
4,11,230,464420
5,11,311,1632583
1,11,6,16228
2,11,10,14637
2,11,11,41135
1,11,1,714
2,11,3,54380
2,11,24,81949
5,11,179,897117
3,11,47,76399
3,11,45,135686
4,11,118,250035
3,11,41,116272
4,11,254,341453
4,11,60,214045
2,11,22,86771
4,11,96,377238
3,11,44,143533
1,11,7,17814
3,11,27,103961
2,11,18,46004
1,11,4,8286
2,11,7,12769
1,11,5,16161
1,11,4,9180
3,11,15,37000
4,11,66,333928
6,11,499,1763499
2,11,8,17680
3,11,18,37948
2,11,22,74700
5,11,219,1077040
2,11,3,5150
3,11,11,28264
2,11,13,29012
2,11,16,46990
4,11,64,137649
6,11,5444,14716850
1,11,2,3820
1,11,2,5100
2,11,4,4550
3,11,51,145127
3,11,7,18090
4,11,6,18449
5,11,225,664861
1,11,4,13580
2,11,8,22620
2,11,18,37180
1,11,9,9300
1,11,0,0
1,11,3,6897
2,11,8,18800
2,11,13,24480
3,11,40,101597
3,11,20,41400
4,11,77,345906
